Sample ID,Description,Batch Size,Maker,Brand,Status,Created Time,Closed Time,Processed Time,
IR7 3-11289,,41,Default Maker,Dzrt - Nicotine Pouches,Complete,30/04/2026 06:51:15,30/04/2026 07:10:30,30/04/2026 07:10:30,

Pouch Number,Status,Processing Start Time,Processing End Time,Weight,Length,Width,
1,Complete,30/04/2026 06:51:44,30/04/2026 06:52:16,0.352,30.114,12.986,
2,Complete,30/04/2026 06:52:11,30/04/2026 06:52:41,0.33,30.196,12.721,
3,Complete,30/04/2026 06:52:38,30/04/2026 06:53:08,0.323,30.213,12.705,
4,Complete,30/04/2026 06:53:05,30/04/2026 06:53:35,0.323,29.931,12.688,
5,Complete,30/04/2026 06:53:31,30/04/2026 06:54:01,0.329,30.08,12.721,
6,Complete,30/04/2026 06:53:58,30/04/2026 06:54:28,0.325,30.23,12.572,
7,Complete,30/04/2026 06:54:25,30/04/2026 06:54:55,0.334,30.08,12.605,
8,Complete,30/04/2026 06:54:51,30/04/2026 06:55:22,0.324,30.097,12.771,
9,Complete,30/04/2026 06:55:19,30/04/2026 06:55:49,0.328,30.114,12.655,
10,Complete,30/04/2026 06:55:46,30/04/2026 06:56:16,0.325,30.114,12.804,
11,Complete,30/04/2026 06:56:13,30/04/2026 06:56:43,0.317,30.163,12.903,
12,Complete,30/04/2026 06:56:39,30/04/2026 06:57:10,0.328,29.849,12.821,
13,Complete,30/04/2026 06:57:07,30/04/2026 06:57:37,0.336,30.114,12.986,
14,Complete,30/04/2026 06:57:34,30/04/2026 06:58:04,0.325,29.965,12.705,
15,Complete,30/04/2026 06:58:01,30/04/2026 06:58:32,0.317,30.031,12.688,
16,Complete,30/04/2026 06:58:28,30/04/2026 06:58:59,0.335,30.18,12.887,
17,Complete,30/04/2026 06:58:55,30/04/2026 06:59:26,0.322,30.18,12.986,
18,Complete,30/04/2026 06:59:22,30/04/2026 06:59:53,0.326,30.345,12.721,
19,Complete,30/04/2026 06:59:49,30/04/2026 07:00:20,0.322,30.064,12.589,
20,Complete,30/04/2026 07:00:16,30/04/2026 07:00:47,0.322,30.312,12.986,
21,Complete,30/04/2026 07:00:43,30/04/2026 07:01:14,0.314,30.18,12.522,
22,Complete,30/04/2026 07:01:10,30/04/2026 07:01:41,0.323,29.981,12.672,
23,Complete,30/04/2026 07:01:37,30/04/2026 07:02:08,0.321,30.379,12.721,
24,Complete,30/04/2026 07:02:04,30/04/2026 07:02:35,0.327,30.18,12.87,
25,Complete,30/04/2026 07:02:31,30/04/2026 07:03:02,0.335,30.064,12.821,
26,Complete,30/04/2026 07:02:59,30/04/2026 07:03:30,0.314,30.08,12.489,
27,Complete,30/04/2026 07:03:26,30/04/2026 07:03:57,0.303,30.23,12.672,
28,Complete,30/04/2026 07:03:53,30/04/2026 07:04:24,0.31,30.163,12.638,
29,Complete,30/04/2026 07:04:21,30/04/2026 07:04:51,0.316,30.163,12.721,
30,Complete,30/04/2026 07:04:48,30/04/2026 07:05:18,0.323,30.296,12.705,
31,Complete,30/04/2026 07:05:15,30/04/2026 07:05:46,0.31,30.08,12.721,
32,Complete,30/04/2026 07:05:42,30/04/2026 07:06:13,0.319,30.163,12.688,
33,Complete,30/04/2026 07:06:10,30/04/2026 07:06:41,0.316,30.23,12.605,
34,Complete,30/04/2026 07:06:37,30/04/2026 07:07:08,0.306,30.412,12.92,
35,Complete,30/04/2026 07:07:05,30/04/2026 07:07:35,0.314,30.163,13.102,
36,Complete,30/04/2026 07:07:32,30/04/2026 07:08:03,0.316,30.114,12.638,
37,Complete,30/04/2026 07:08:00,30/04/2026 07:08:31,0.319,30.329,12.788,
38,Complete,30/04/2026 07:08:28,30/04/2026 07:08:59,0.318,30.428,12.721,
39,Complete,30/04/2026 07:08:55,30/04/2026 07:09:26,0.306,30.345,12.721,
40,Complete,30/04/2026 07:09:23,30/04/2026 07:09:54,0.306,30.412,12.837,
41,Complete,30/04/2026 07:09:50,30/04/2026 07:10:22,0.31,30.196,12.771,
,,,Mean,0.321,30.17,12.752,
,,,Min,0.303,29.849,12.489,
,,,Max,0.352,30.428,13.102,
,,,StdDev (Sample),0.01,0.132,0.137,
,,,CofV,0.03,0.004,0.011,


Pouch no.,Timestamp,Displacement,Force,

